Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
59252.0,60211.0,59192.0,60149.0,0.00014899719099048525,9.768401063091005,513.1197063189393,2020/04/28,59730.60064456141,59669.86837158098,14047.683591619978,45622.184779961004,,,,
59252.0,60210.0,59201.0,60158.0,0.00011721833288902417,8.414932237581525,495.35135057067237,2020/04/29,59730.600761779744,59678.28330381856,13560.747173286887,46117.53613053168,,,,
59252.975000000006,60209.0,59207.0,60165.0,9.286784188589081e-05,7.248993087909184,478.1650473832051,2020/04/30,59730.600854647586,59685.53229690647,13089.831118991591,46595.70117791488,,,,
59252.975000000006,60210.0,59213.0,60172.0,7.407781959045678e-05,6.244600767895463,461.5464172682405,2020/05/01,59730.600928725406,59691.77689767437,12634.529302491246,47057.24759518312,,,,
59252.0,60211.0,59220.0,60176.0,5.9479891206137836e-05,5.37937250003597,445.480737058424,2020/05/02,59730.6009882053,59697.156270174404,12194.427937932858,47502.728332241546,,,,
59252.0,60209.0,59223.0,60181.0,4.806349897990003e-05,4.634026454274135,429.95306998158776,2020/05/03,59730.601036268796,59701.79029662868,11769.108894405545,47932.681402223134,,,,
59252.0,60209.0,59226.0,60185.0,3.907817153958604e-05,3.991952445539937,414.9483745978505,2020/05/04,59730.60107534697,59705.78224907422,11358.152472253234,48347.629776820984,,,,
59251.0,60210.0,59230.0,60188.0,3.1962175853550434e-05,3.438841619019513,400.4515959960554,2020/05/05,59730.60110730914,59709.22109069324,10961.139717876198,48748.08137281704,,,,
59253.0,60210.0,59233.0,60192.0,2.6292756956536323e-05,2.9623676786068245,386.44774157737265,2020/05/06,59730.6011336019,59712.183458371845,10577.654343977432,49134.52911439441,,,,
59252.0,60211.0,59235.0,60194.0,2.1749510779045522e-05,2.5519121590914438,372.92194377011765,2020/05/07,59730.60115535141,59714.735370530936,10207.284312366406,49507.45105816453,,,,
59252.0,60209.0,59237.0,60196.0,1.808813976822421e-05,2.1983278327679727,359.8595115175631,2020/05/08,59730.60117343955,59716.933698363704,9849.623128681611,49867.31056968209,,,,
59252.0,60209.0,59240.0,60200.0,1.5121433534659445e-05,1.8937349539774004,347.2459721883133,2020/05/09,59730.601188560984,59718.82743331768,9504.270891447275,50214.55654187041,,,,
59253.0,60210.0,59242.0,60200.0,1.2704731489066035e-05,1.6313453097172896,335.0671054708,2020/05/10,59730.601201265716,59720.4587786274,9170.835131286192,50549.62364734121,,,,
59253.0,60210.0,59245.0,60201.0,1.0726056643761694e-05,1.4053114773269044,323.30897005525185,2020/05/11,59730.60121199177,59721.864090104726,8848.931472708267,50872.93261739646,,,,
59253.0,60211.0,59245.0,60202.0,9.09795198822394e-06,1.210596115088265,311.9579247065267,2020/05/12,59730.601221089724,59723.074686219814,8538.184144116829,51184.890542102985,,,,
59253.0,60212.0,59246.0,60204.0,7.751878001727164e-06,1.0428598663420416,301.0006441583173,2020/05/13,59730.6012288416,59724.117546086156,8238.226359824854,51485.8911862613,,,,
59252.0,60210.0,59246.0,60204.0,6.633803423028439e-06,0.8983646121851052,290.4241308341443,2020/05/14,59730.601235475406,59725.01591069834,7948.7005936028945,51776.31531709545,,,,
59251.0,60210.0,59248.0,60206.0,5.700901965610683e-06,0.7738901280754362,280.2157229895238,2020/05/15,59730.60124117631,59725.78980082642,7669.258760741446,52056.53104008497,,,,
59252.0,60210.0,59247.0,60206.0,4.919136699754745e-06,0.666662433577585,270.36309979223006,2020/05/16,59730.601246095444,59726.456463259994,7399.562323382794,52326.8941398772,,,,
59252.0,60210.0,59248.0,60207.0,4.261244612280279e-06,0.5742918576070224,260.8542839453585,2020/05/17,59730.60125035669,59727.0307551176,7139.282331295042,52587.74842382256,,,,
59252.0,60211.0,59248.0,60206.0,3.7053250707685947e-06,0.4947198511654278,251.67764213788905,2020/05/18,59730.601254062014,59727.52547496877,6888.099409008319,52839.42606596045,,,,
59253.0,60211.0,59250.0,60206.0,3.2337193260900676e-06,0.426173091349483,242.82188376311387,2020/05/19,59730.60125729573,59727.951648060116,6645.703698336554,53082.24794972356,,,,
59251.0,60211.0,59249.0,60208.0,2.832101017702371e-06,0.367123947617074,234.27605817882431,2020/05/20,59730.601260127834,59728.31877200773,6411.794764105347,53316.524007902386,,,,
59252.0,60209.0,59251.0,60208.02500000002,2.4888140615075827e-06,0.3162564690428553,226.02955075627688,2020/05/21,59730.60126261665,59728.635028476776,6186.081469818113,53542.55355865866,,,,
59252.0,60211.0,59250.0,60208.0,2.1943269530311227e-06,0.27243702541454695,218.07207797368028,2020/05/22,59730.601264810975,59728.90746550219,5968.281828869847,53760.62563663234,,,,
59253.0,60210.0,59249.0,60209.0,1.9408180378377438e-06,0.23468906489142682,210.39368170624948,2020/05/23,59730.60126675179,59729.14215456708,5758.122836228489,53971.01931833859,,,,
59253.0,60210.0,59251.0,60208.0,1.7218480934388936e-06,0.20217134316044394,202.98472289935307,2020/05/24,59730.60126847364,59729.34432591024,5555.340284672297,54174.004041237946,,,,
59253.0,60209.0,59252.0,60209.0,1.5321202226914465e-06,0.17415917242033174,195.83587475114473,2020/05/25,59730.60127000576,59729.51848508266,5359.678569093572,54369.83991598909,,,,
59253.0,60210.0,59251.0,60210.0,1.367166987620294e-06,0.15002827997523127,188.93811551789986,2020/05/26,59730.60127137293,59729.66851336264,5170.8904818556475,54558.77803150699,,,,
59251.0,60210.0,59251.0,60208.0,1.2233213055878878e-06,0.1292408864828758,182.28272105008364,2020/05/27,59730.60127259625,59729.79775424912,4988.737001692047,54741.060752557074,,,,
59251.0,60211.0,59251.0,60210.0,1.0975199984386563e-06,0.11133372768381378,175.8612571311678,2020/05/28,59730.60127369377,59729.909087976805,4812.987078288563,54916.92200968824,,,,
59252.0,60211.0,59252.0,60209.0,9.87194653134793e-07,0.09590772748924792,169.6655716969908,2020/05/29,59730.601274680965,59730.004995704294,4643.417414319061,55086.58758138523,,,,
59252.0,60211.0,59252.0,60209.0,8.901333785615861e-07,0.0826191035885131,163.68778699087852,2020/05/30,59730.6012755711,59730.08761480788,4479.812246431771,55250.27536837611,,,,
59252.0,60210.0,59253.0,60210.0,8.045390131883323e-07,0.0711717084486736,157.92029170320893,2020/05/31,59730.60127637564,59730.15878651633,4321.963126437011,55408.19566007932,,,,
59252.0,60210.0,59251.0,60209.0,7.28839950170368e-07,0.06131042666675057,152.3557331389311,2020/06/01,59730.60127710448,59730.220096943,4169.668703724747,55560.55139321825,,,,
59253.0,60210.02500000002,59253.0,60211.0,6.617337930947542e-07,0.052815491500950884,146.98700944359007,2020/06/02,59730.60127776621,59730.2729124345,4022.7345097726575,55707.53840266184,,,,
59251.0,60211.0,59251.0,60210.0,6.020854925736785e-07,0.04549758625944378,141.80726191821304,2020/06/03,59730.601278368296,59730.31841002076,3880.972745440704,55849.345664580054,,,,
59252.0,60210.0,59252.0,60210.0,5.489491741172969e-07,0.039193625198095106,136.80986744463735,2020/06/04,59730.601278917246,59730.357603645956,3744.2020716212646,55986.15553202469,,,,
59252.0,60210.0,59251.0,60210.0,5.01509930472821e-07,0.0337631195798167,131.98843103933177,2020/06/05,59730.601279418755,59730.391366765536,3612.2474037015127,56118.14396306402,,,,
59252.0,60210.0,59252.0,60210.0,4.5903288992121816e-07,0.029085046022373717,127.33677855135466,2020/06/06,59730.60127987779,59730.42045181156,3484.9397101961804,56245.48074161538,,,,
59252.0,60211.0,59251.0,60210.0,4.209578037261963e-07,0.025055150348634925,122.84894951459137,2020/06/07,59730.601280298746,59730.44550696191,3362.1158158319377,56368.32969112997,,,,
59251.0,60210.0,59254.0,60211.0,3.867025952786207e-07,0.021583622190519236,118.5191901645303,2020/06/08,59730.60128068545,59730.4670905841,3243.618209289598,56486.8488812945,,,,
59251.0,60211.0,59251.975000000006,60210.0,3.558598109520972e-07,0.018593096079712268,114.34194662398659,2020/06/09,59730.60128104131,59730.48568368018,3129.294855761691,56601.190827918486,,,,
59251.0,60211.0,59252.0,60211.0,3.2803654903545976e-07,0.016016926645534113,110.31185826435103,2020/06/10,59730.601281369345,59730.50170060682,3018.9990144239855,56711.50268618284,,,,
59252.0,60212.0,59251.0,60209.0,3.028544597327709e-07,0.013797701889416203,106.42375124445971,2020/06/11,59730.6012816722,59730.51549830871,2912.589060881415,56817.9264374273,,,,
59253.0,60210.0,59251.0,60210.0,2.8005160856992006e-07,0.011885964559041895,102.67263222829934,2020/06/12,59730.60128195225,59730.52738427327,2809.928314617675,56920.5990696556,,,,
59251.0,60210.0,59251.0,60210.0,2.5934423319995403e-07,0.01023911009542644,99.05368228224688,2020/06/13,59730.601282211595,59730.53762338337,2710.8848714455235,57019.65275193784,,,,
59253.0,60210.0,59252.0,60212.0,2.4051405489444733e-07,0.008820437273243442,95.56225095144327,2020/06/14,59730.60128245211,59730.54644382064,2615.3314409313534,57115.21500288929,,,,
59252.0,60210.0,59253.0,60209.0,2.2337917471304536e-07,0.007598329953907523,92.19385051412246,2020/06/15,59730.60128267549,59730.554042150594,2523.145188747185,57207.40885340341,,,,
59253.0,60210.0,59252.0,60210.0,2.0772131392732263e-07,0.006545551637827884,88.94415041116736,2020/06/16,59730.60128288321,59730.56058770223,2434.2075838876553,57296.35300381458,,,,
59252.0,60210.0,59252.0,60209.0,1.93416781257838e-07,0.005638643619022332,85.80897185007052,2020/06/17,59730.60128307663,59730.56622634585,2348.404250681204,57382.16197566465,,,,
59251.0,60210.0,59251.0,60211.0,1.803346094675362e-07,0.004857392290432472,82.78428257751511,2020/06/18,59730.60128325696,59730.57108373814,2265.624825495979,57464.94625824216,,,,
59251.0,60209.0,59252.0,60210.0,1.6832927940413356e-07,0.004184386998531409,79.86619182094,2020/06/19,59730.60128342529,59730.57526812514,2185.7628180620377,57544.8124500631,,,,
59253.0,60210.0,59252.0,60210.0,1.5731347957625985e-07,0.00360463083779905,77.05094539250422,2020/06/20,59730.601283582604,59730.57887275598,2108.7154773003713,57621.863395455606,,,,
59252.0,60210.0,59252.0,60211.0,1.4717807061970234e-07,0.003105202835286036,74.33492095268593,2020/06/21,59730.60128372978,59730.58197795881,2034.3836615505206,57696.19831640829,,,,
59251.0,60209.0,59251.0,60210.0,1.37843017000705e-07,0.0026749727767310105,71.71462343148596,2020/06/22,59730.601283867625,59730.58465293159,1962.6717130918114,57767.91293983978,,,,
59252.0,60210.0,59253.0,60210.0,1.2922828318551183e-07,0.0023043528854032047,69.1866806003236,2020/06/23,59730.60128399685,59730.586957284475,1893.4873368443732,57837.0996204401,,,,
59253.0,60210.0,59253.0,60210.0,1.212974893860519e-07,0.0019850847747875378,66.7478387918236,2020/06/24,59730.60128411815,59730.58894236925,1826.7414831373244,57903.847459231925,,,,
59252.0,60209.0,59253.0,60211.0,1.1394149623811245e-07,0.0017100523400586098,64.39495876400906,2020/06/25,59730.60128423209,59730.59065242159,1762.3482344256554,57968.242417995934,,,,
59252.0,60211.0,59252.0,60210.0,1.0714575182646513e-07,0.0014731266419403255,62.125011704309145,2020/06/26,59730.60128433924,59730.59212554823,1700.2246958479882,58030.36742970024,,,,
59251.0,60210.0,59251.0,60211.0,1.0083022061735392e-07,0.0012690279254456982,59.93507536910329,2020/06/27,59730.60128444007,59730.59339457616,1640.2908895068103,58090.30250506935,,,,
59253.0,60211.0,59254.0,60210.0,9.500217856839299e-08,0.0010932081058854237,57.82233035473473,2020/06/28,59730.60128453507,59730.59448778426,1582.4696523601815,58148.12483542408,,,,
59252.0,60210.0,59252.0,60209.0,8.954521035775542e-08,0.0009417484689038247,55.78405649577326,2020/06/29,59730.601284624616,59730.59542953273,1526.6865376128771,58203.908891919855,,,,
59252.0,60210.0,59254.0,60209.0,8.450297173112631e-08,0.0008112739596981555,53.81762938803149,2020/06/30,59730.60128470912,59730.59624080669,1472.8697194988054,58257.726521307886,,,,
59252.0,60211.0,59253.0,60210.0,7.978815119713545e-08,0.0006988770910538733,51.920517030448536,2020/07/01,59730.60128478891,59730.59693968378,1420.9499013454479,58309.647038338335,,,,
59252.0,60211.0,59252.0,60211.0,7.540074875578284e-08,0.0006020531145622954,50.090276583134255,2020/07/02,59730.60128486431,59730.5975417369,1370.8602268154282,58359.73731492147,,,,
59252.0,60210.0,59252.0,60210.0,7.130438461899757e-08,0.0005186441630939953,48.3245512368303,2020/07/03,59730.60128493561,59730.59806038106,1322.536194222761,58408.0618661583,,,,
59252.0,60210.0,59253.0,60209.0,6.747723091393709e-08,0.00044679160782834515,46.6210671925146,2020/07/04,59730.60128500309,59730.59850717267,1275.9155738218542,58454.682933350814,,,,
59252.0,60211.0,59253.0,60210.0,6.390473572537303e-08,0.0003848943015327677,44.97763074463728,2020/07/05,59730.601285066994,59730.59889206697,1230.9383279715184,58499.66056409545,,,,
59252.0,60210.0,59252.0,60210.0,6.055051926523447e-08,0.0003315728754387237,43.392125466161815,2020/07/06,59730.601285127545,59730.599223639845,1187.546534078232,58543.05268956161,,,,
