Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
12720.0,13166.0,12720.0,13166.0,0.0,4.427631211001426e-06,0.6247722282842005,4.427631211001426e-06,2020/04/23,12942.498093383956,12942.498081403684,13114.63342231068,0.0,12942.498081403684,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,3.2322950573870912e-06,0.5753234937219531,3.2322950573870912e-06,2020/04/24,12942.498093383956,12942.49808463598,13115.208745804399,0.0,12942.49808463598,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,2.359553036512807e-06,0.5324042584325069,2.359553036512807e-06,2020/04/25,12942.498093383956,12942.498086995533,13115.741150062831,0.0,12942.498086995533,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,1.7230177036253735e-06,0.4951538377717952,1.7230177036253735e-06,2020/04/26,12942.498093383956,12942.49808871855,13116.236303900603,0.0,12942.49808871855,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,1.2574946595123038e-06,0.4628245987951232,1.2574946595123038e-06,2020/04/27,12942.498093383956,12942.498089976045,13116.6991284994,0.0,12942.498089976045,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,9.182422218145803e-07,0.43476717082558025,9.182422218145803e-07,2020/04/28,12942.498093383956,12942.498090894287,13117.133895670228,0.0,12942.498090894287,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,6.703867256874219e-07,0.4104177424051159,6.703867256874219e-07,2020/04/29,12942.498093383956,12942.498091564674,13117.544313412629,0.0,12942.498091564674,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,4.894191079074517e-07,0.3892866848782433,4.894191079074517e-07,2020/04/30,12942.498093383956,12942.498092054093,13117.933600097507,0.0,12942.498092054093,,,,,
12720.0,13166.0,12721.0,13166.0,0.0,3.573095455067232e-07,0.3709489136781485,3.573095455067232e-07,2020/05/01,12942.498093383956,12942.498092411402,13118.304549011189,0.0,12942.498092411402,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,2.608539944048971e-07,0.3550354216313281,2.608539944048971e-07,2020/05/02,12942.498093383956,12942.498092672256,13118.65958443282,0.0,12942.498092672256,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,1.9044819055125117e-07,0.3412258813877997,1.9044819055125117e-07,2020/05/03,12942.498093383956,12942.498092862705,13119.000810314206,0.0,12942.498092862705,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,1.3903809303883463e-07,0.3292422507747688,1.3903809303883463e-07,2020/05/04,12942.498093383956,12942.498093001743,13119.330052564981,0.0,12942.498093001743,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,1.0150506568606943e-07,0.3188431930993829,1.0150506568606943e-07,2020/05/05,12942.498093383956,12942.498093103248,13119.648895758079,0.0,12942.498093103248,,,,,
12720.0,13165.0,12720.0,13166.0,0.0,7.410380931105465e-08,0.3098192493853276,7.410380931105465e-08,2020/05/06,12942.498093383956,12942.498093177352,13119.958715007466,0.0,12942.498093177352,,,,,
12721.0,13166.0,12720.0,13166.0,0.0,5.409856385085732e-08,0.3019886287966074,5.409856385085732e-08,2020/05/07,12942.498093383956,12942.49809323145,13120.260703636262,0.0,12942.49809323145,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,3.9499354897998273e-08,0.29519356189666723,3.9499354897998273e-08,2020/05/08,12942.498093383956,12942.49809327095,13120.555897198159,0.0,12942.49809327095,,,,,
12720.0,13166.0,12720.0,13165.0,0.0,2.8836439014412463e-08,0.2892971281780774,2.8836439014412463e-08,2020/05/09,12942.498093383956,12942.498093299786,13120.845194326335,0.0,12942.498093299786,,,,,
12720.0,13166.0,12720.0,13166.0,0.0,2.104934537783265e-08,0.28418050298023445,2.104934537783265e-08,2020/05/10,12942.498093383956,12942.498093320835,13121.129374829316,0.0,12942.498093320835,,,,,
