Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
17535.0,18058.0,17518.0,18042.0,0.0,5.601122880136245,482.2340638864516,496.6305929914088,2020/03/01,17795.99461466663,17779.322268714554,13167.486503187625,4039.0201763197983,13740.302092394755,2020-03-01,17788.0,12572.0,3.0,13148.0
17535.0,18058.0,17523.0,18046.0,0.0,4.152995599622955,436.9425251648663,448.89886667925384,2020/03/02,17795.99461466663,17783.475264314176,13604.42902835249,3594.2743052401675,14189.200959074009,2020-03-02,17791.0,13136.0,3.0,13719.0
17535.0,18058.0,17526.0,18049.0,0.0,3.0792705241547083,395.78587887261887,405.5487191150005,2020/03/03,17795.99461466663,17786.55453483833,14000.214907225107,3191.8048566493217,14594.74967818901,2020-03-03,17792.0,13666.0,1.0,14255.0
17535.0,18058.0,17527.0,18050.0,0.0,2.2831487893527083,358.4389200315818,366.23260621772715,2020/03/04,17795.99461466663,17788.837683627684,14358.653827256689,2827.855399220947,14960.982284406737,2020-03-04,17795.0,14163.0,3.0,14760.0
17535.0,18058.0,17529.0,18052.0,0.0,1.6928582292239298,324.58749930676095,330.6153594942134,2020/03/05,17795.99461466663,17790.530541856908,14683.241326563451,2498.9328979559577,15291.59764390095,2020-03-05,17795.0,14612.0,0.0,15215.0
17535.0,18058.0,17531.0,18054.0,0.0,1.2551827396564477,293.93282867882226,298.37863107072553,2020/03/06,17795.99461466663,17791.785724596564,14977.174155242274,2201.8094496248887,15589.976274971676,2020-03-06,17795.0,14957.0,0.0,15567.0
17535.0,18057.0,17531.0,18054.0,0.0,0.9306648966376088,266.19397202736764,269.22343488848855,2020/03/07,17795.99461466663,17792.716389493202,15243.368127269641,1933.5166796330377,15859.199709860164,2020-03-07,17795.0,15241.0,0.0,15857.0
17535.0,18058.0,17533.0,18055.0,0.0,0.6900486369340797,241.10905891696348,242.8713513676048,2020/03/08,17795.99461466663,17793.406438130136,15484.477186186605,1691.335376902367,16102.071061227769,2020-03-08,17795.0,15500.0,0.0,16119.0
17535.0,18058.0,17533.0,18056.0,0.0,0.5116418698526104,218.4356129906355,219.06480764624757,2020/03/09,17795.99461466663,17793.91807999999,15702.912799177242,1472.782211125972,16321.135868874017,2020-03-09,17795.0,15756.0,0.0,16376.0
17535.0,18058.0,17533.0,18057.0,0.0,1.0819200000005367,312.78566607621724,316.8641311259835,2020/03/10,17795.99461466663,17794.99999999999,16015.698465253457,1156.999999999989,16638.0,2020-03-10,17795.0,16015.0,0.0,16638.0
17535.0,18058.0,17534.0,18057.0,0.0,0.2571499643527204,124.83527828057596,121.39396257415137,2020/03/11,17795.99461466663,17795.25714996434,16140.533743534033,1035.8631873901904,16759.39396257415,2020-03-11,17795.0,16204.0,0.0,16830.0
17535.0,18058.0,17535.0,18058.0,0.0,0.1906658172410971,124.68076310045944,121.11359922479096,2020/03/12,17795.99461466663,17795.447815781583,16265.214506634493,914.9402539826406,16880.507561798942,2020-03-12,17795.0,16356.0,0.0,16982.0
17535.0,18058.0,17535.0,18058.0,0.0,0.14137063928865246,121.63715584145392,117.83674980028445,2020/03/13,17795.99461466663,17795.58918642087,16386.851662475947,797.2448748216448,16998.344311599227,2020-03-13,17795.0,16492.0,0.0,17121.0
17535.0,18058.0,17534.0,18058.0,0.0,0.10482034973756527,116.73802100529429,112.64093640557257,2020/03/14,17795.99461466663,17795.69400677061,16503.58968348124,684.7087587658098,17110.9852480048,2020-03-14,17795.0,16646.0,0.0,17275.0
17535.0,18058.0,17535.0,18057.0,0.0,0.07771985590807162,110.72182433528359,106.29521362381638,2020/03/15,17795.99461466663,17795.771726626517,16614.311507816525,578.4912649979015,17217.280461628616,2020-03-15,17795.0,16710.0,0.0,17340.0
17534.0,18059.0,17535.0,18058.0,0.0,0.05762598351066117,104.11090126332785,99.34287552337628,2020/03/16,17795.99461466663,17795.829352610028,16718.422409079853,479.20601545803584,17316.623337151992,2020-03-16,17795.0,16767.0,0.0,17398.0
17535.0,18058.0,17535.0,18059.0,0.0,0.04272723060785211,97.26975965070959,92.1624826215484,2020/03/17,17795.99461466663,17795.872079840636,16815.692168730562,387.0862600670953,17408.78581977354,,,,,
17534.0,18058.0,17535.0,18058.0,0.0,0.03168043427649536,90.4480799867597,85.01284386632688,2020/03/18,17795.99461466663,17795.903760274912,16906.140248717318,302.1050966350449,17493.798663639867,,,,,
17535.0,18057.0,17535.0,18058.0,0.0,0.023489702474762453,83.81239752187685,78.06613780806947,2020/03/19,17795.99461466663,17795.927249977387,16989.9526462392,224.0624485294502,17571.864801447937,,,,,
17535.0,18057.0,17535.0,18058.0,0.0,0.017416620918083936,77.46940278281545,71.43225520327178,2020/03/20,17795.99461466663,17795.944666598305,17067.422049022014,152.6476099470965,17643.29705665121,,,,,
17535.0,18058.0,17536.0,18058.0,0.0,0.012913686423416948,71.48304662994633,65.1766564198224,2020/03/21,17795.99461466663,17795.95758028473,17138.90509565196,87.48386721369752,17708.47371307103,,,,,
17535.0,18058.0,17534.0,18057.0,0.0,0.009574953517585527,65.88706699415707,59.333439218662534,2020/03/22,17795.99461466663,17795.967155238246,17204.792162646118,28.160002948552574,17767.807152289693,,,,,
