Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
49574.0,50449.0,49573.0,50450.0,0.0,4.547473508864641e-09,33.258663441760284,33.25866344176757,2020/04/27,50011.338331117164,50011.33833107275,49918.71343357986,92.62489749288943,49918.71343357986,,,,,
49574.0,50450.0,49575.0,50451.0,0.0,4.423782229423523e-09,31.002157875205736,31.00215787520574,2020/04/28,50011.338331117164,50011.338331077175,49949.71559145507,61.622739622107474,49949.71559145507,,,,,
49574.0,50450.0,49575.0,50450.02500000002,0.0,2.6557245291769505e-09,28.898749701562338,28.898749701562338,2020/04/29,50011.338331117164,50011.33833107983,49978.61434115663,32.72398992320086,49978.61434115663,,,,,
49574.0,50450.0,49573.0,50451.0,0.0,1.4551915228366852e-10,26.938050144970475,26.938050144970475,2020/04/30,50011.338331117164,50011.338331079976,50005.5523913016,5.785939778375905,50005.5523913016,,,,,
49574.0,50449.0,49574.0,50451.0,0.0,-4.2928149923682213e-10,25.110381039216012,5.7859397779466235,2020/05/01,50011.338331117164,50011.33833107955,50030.662772340824,0.0,50011.33833107955,,,,,
49575.0,50450.0,49574.0,50450.0,0.0,2.6411726139485836e-09,23.40671657337953,2.6411726139485836e-09,2020/05/02,50011.338331117164,50011.33833108219,50054.069488914196,0.0,50011.33833108219,,,,,
49574.0,50450.0,49574.0,50450.0,0.0,3.521563485264778e-09,21.818636581847386,3.521563485264778e-09,2020/05/03,50011.338331117164,50011.33833108571,50075.888125496036,0.0,50011.33833108571,,,,,
49573.0,50450.0,49574.0,50450.0,0.0,1.1641532182693481e-09,20.338303114527665,1.1641532182693481e-09,2020/05/04,50011.338331117164,50011.338331086874,50096.226428610564,0.0,50011.338331086874,,,,,
49573.0,50452.0,49574.0,50450.0,0.0,-5.2241375669837e-09,18.958406918718534,-5.2241375669837e-09,2020/05/05,50011.338331117164,50011.33833108165,50115.18483552929,0.0,50011.33833108165,,,,,
49573.0,50451.0,49574.0,50450.0,0.0,-4.7584762796759605e-09,17.67213317257847,-4.7584762796759605e-09,2020/05/06,50011.338331117164,50011.33833107689,50132.85696870187,0.0,50011.33833107689,,,,,
49573.0,50450.0,49573.0,50450.0,0.0,4.067260306328535e-09,16.473129027966937,4.067260306328535e-09,2020/05/07,50011.338331117164,50011.33833108096,50149.33009772984,0.0,50011.33833108096,,,,,
49574.0,50451.0,49573.0,50450.0,0.0,8.003553375601768e-09,15.355474126212355,8.003553375601768e-09,2020/05/08,50011.338331117164,50011.33833108896,50164.685571856055,0.0,50011.33833108896,,,,,
49574.0,50451.0,49573.0,50450.0,0.0,2.8812792152166367e-09,14.313649007708593,2.8812792152166367e-09,2020/05/09,50011.338331117164,50011.33833109184,50178.99922086376,0.0,50011.33833109184,,,,,
49573.0,50450.0,49574.0,50451.0,0.0,-1.359148882329464e-08,13.342508997076948,-1.359148882329464e-08,2020/05/10,50011.338331117164,50011.33833107825,50192.34172986083,0.0,50011.33833107825,,,,,
49574.0,50450.0,49574.0,50450.0,0.0,-1.0753865353763103e-08,12.437257619065347,-1.0753865353763103e-08,2020/05/11,50011.338331117164,50011.3383310675,50204.778987479905,0.0,50011.3383310675,,,,,
49574.0,50450.0,49573.0,50450.0,0.0,1.0550138540565968e-08,11.59342516677134,1.0550138540565968e-08,2020/05/12,50011.338331117164,50011.33833107805,50216.37241264667,0.0,50011.33833107805,,,,,
49574.0,50450.0,49574.0,50449.0,0.0,1.7324055079370737e-08,10.806843994658266,1.7324055079370737e-08,2020/05/13,50011.338331117164,50011.33833109537,50227.17925664133,0.0,50011.33833109537,,,,,
49573.0,50450.0,49574.0,50449.0,0.0,-9.189534466713667e-09,10.073630597544252,-9.189534466713667e-09,2020/05/14,50011.338331117164,50011.33833108618,50237.252887238865,0.0,50011.33833108618,,,,,
49573.0,50450.0,49573.0,50450.0,0.0,1.5788828022778034e-09,9.390163364929322,1.5788828022778034e-09,2020/05/15,50011.338331117164,50011.33833108776,50246.6430506038,0.0,50011.33833108776,,,,,
49574.0,50450.0,49573.0,50451.0,0.0,-3.856257535517216e-09,8.753067389552598,-3.856257535517216e-09,2020/05/16,50011.338331117164,50011.338331083905,50255.39611799336,0.0,50011.338331083905,,,,,
49573.0,50450.0,49574.0,50451.0,0.0,5.529727786779404e-10,8.159196859123767,5.529727786779404e-10,2020/05/17,50011.338331117164,50011.33833108446,50263.55531485248,0.0,50011.33833108446,,,,,
49573.0,50451.0,49573.0,50450.0,0.0,-1.2369127944111824e-09,7.605618360146764,-1.2369127944111824e-09,2020/05/18,50011.338331117164,50011.33833108322,50271.16093321264,0.0,50011.33833108322,,,,,
49574.0,50449.0,49573.0,50450.0,0.0,1.2369127944111824e-10,7.089599066457595,1.2369127944111824e-10,2020/05/19,50011.338331117164,50011.338331083345,50278.25053227908,0.0,50011.338331083345,,,,,
49575.0,50450.0,49574.0,50450.0,0.0,-4.3655745685100555e-10,6.608589637813567,-4.3655745685100555e-10,2020/05/20,50011.338331117164,50011.33833108291,50284.859121916896,0.0,50011.33833108291,,,,,
49573.0,50450.0,49573.0,50450.0,0.0,-7.275957614183426e-12,6.160215529314883,-7.275957614183426e-12,2020/05/21,50011.338331117164,50011.3383310829,50291.01933744621,0.0,50011.3383310829,,,,,
49574.0,50450.0,49574.0,50450.0,0.0,-1.6007106751203537e-10,5.742262467414548,-1.6007106751203537e-10,2020/05/22,50011.338331117164,50011.33833108274,50296.761599913625,0.0,50011.33833108274,,,,,
49573.0,50450.0,49573.0,50450.0,0.0,0.0,5.352666242892155,0.0,2020/05/23,50011.338331117164,50011.33833108274,50302.114266156525,0.0,50011.33833108274,,,,,
49573.0,50450.0,49574.0,50450.0,0.0,-5.820766091346741e-11,4.989503091288498,-5.820766091346741e-11,2020/05/24,50011.338331117164,50011.33833108268,50307.10376924781,0.0,50011.33833108268,,,,,
49573.0,50450.0,49573.0,50450.0,0.0,-7.275957614183426e-12,4.6509795167148695,-7.275957614183426e-12,2020/05/25,50011.338331117164,50011.338331082676,50311.75474876452,0.0,50011.338331082676,,,,,
