Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
36784.0,37541.0,21061.0,21634.0,0.37630066923156846,970.0843503366887,62.53107643094495,2020/04/08,37162.449832862534,21347.06074431501,20750.4449217692,596.6158225458109,,,,
36784.0,37540.0,21969.0,22554.0,0.11613232961099129,914.0324337742677,65.235035545708,2020/04/09,37162.565965192145,22261.09317808928,21599.24231999776,661.850858091519,,,,
36785.0,37541.0,22824.0,23421.0,0.03450234980118694,861.2110777503658,67.76331648111852,2020/04/10,37162.600467541946,23122.304255839645,22392.690081267006,729.6141745726375,,,,
36785.0,37539.0,23631.0,24238.0,0.009894093658658676,811.4397175263875,70.12611588408174,2020/04/11,37162.610361635605,23933.743973366032,23134.00368290931,799.7402904567192,,,,
36785.0,37541.0,24391.0,25007.0,0.0027454329319880344,764.5440099954394,72.33305218375938,2020/04/12,37162.61310706854,24698.28798336147,23826.214640720995,872.0733426404786,,,,
36785.0,37540.0,25107.0,25731.0,0.0007388499288936146,720.3583414826644,74.39319121934273,2020/04/13,37162.613845918466,25418.646324844136,24472.179790984315,946.4665338598213,,,,
36785.0,37541.0,25781.0,26414.0,0.00019326377514516935,678.7262575683526,76.31507573152544,2020/04/14,37162.61403918224,26097.37258241249,25074.59097282114,1022.7816095913468,,,,
36786.0,37541.0,26418.0,27058.0,4.923470987705514e-05,639.5002246181575,78.10675485848128,2020/04/15,37162.61408841695,26736.872807030646,25635.98444258082,1100.888364449828,,,,
36784.0,37541.0,27016.0,27664.0,1.223939034389332e-05,602.5412012312809,79.77581244187309,2020/04/16,37162.61410065634,27339.414008261927,26158.749831370227,1180.6641768917011,,,,
36785.0,37541.0,27580.0,28234.0,2.9736984288319945e-06,567.7181731936689,81.32939381622737,2020/04/17,37162.61410363004,27907.132181455596,26645.13861074767,1261.9935707079285,,,,
36785.0,37541.0,28113.0,28773.0,7.07499566487968e-07,534.9076920048428,82.77423138083782,2020/04/18,37162.61410433754,28442.03987346044,27097.272071371674,1344.7678020887663,,,,
36786.0,37542.0,28613.0,29280.0,1.6539706848561764e-07,503.99344666701654,84.11666806955145,2020/04/19,37162.614104502936,28946.033320127455,27517.148849969137,1428.8844701583178,,,,
