No.,city,country,latitude,longitude,latitude of nearest station,longitude of nearest station,USAF,WBAN,R,pop,R_index
86,Osaka,Japan,34.53333333333333,135.5,34.596,135.60299999999998,477790.0,99999.0,2.21384065305,6408.274,8.42766816464
87,Oslo,Norway,59.95,10.7,59.95,10.717,14920.0,99999.0,3.0413216023799996,1602.34,9.747513676941171
88,Panama City,Panama,8.966666666666667,-79.53333333333333,8.967,-79.55,783842.0,99999.0,1.39841248299,222.3668,3.2848969644209194
89,Paramaribo,Suriname,5.75,-55.25,5.811,-55.191,812000.0,99999.0,1.0236643454,2360.229,3.4529612137545254
90,Paris,France,48.8,2.333333333333333,48.817,2.333,71560.0,99999.0,2.61466478962,18263.82,11.142695724372036
91,Perth,Australia,-31.95,115.86666666666666,-31.917,115.867,946080.0,99999.0,1.8114704060799998,2350.76,6.107178645641213
92,Plymouth,England,50.41666666666666,-4.083333333333333,50.35,-4.117,38270.0,99999.0,2.63372397567,1853.144,8.607387786817725
93,Port Moresby,Papua New Guinea,-9.416666666666666,147.13333333333333,-9.443,147.22,920350.0,99999.0,0.967127709906,1453.856,3.0588508726064325
94,Prague,Czech Republic,50.08333333333334,14.433333333333335,50.067,14.433,115190.0,99999.0,2.41662185025,2760.349,8.315888921738576
95,Rangoon,Myanmar,16.833333333333332,96.0,16.907,96.133,480970.0,99999.0,1.26709465867,9697.321,5.051521909968848
96,Reykjavik,Iceland,64.06666666666666,-21.966666666666665,64.13,-21.941,40300.0,99999.0,1.8798622192400003,461.7459,5.0104768165824956
97,Rio de Janeiro,Brazil,-22.95,-43.2,-22.91,-43.163,837550.0,99999.0,1.1948540512899999,4247.514,4.335213742664625
98,Rome,Italy,41.9,12.45,41.952,12.499,162350.0,99999.0,1.8291583025799998,4777.7440000000015,6.730047322408675
99,Salvador,Brazil,-12.933333333333335,-38.45,-13.0,-38.5,866780.0,99999.0,1.0875621612200002,16079.78,4.574620451768739
100,Santiago,Chile,-33.46666666666667,-70.75,-33.433,-70.683,855770.0,99999.0,1.5943025204799999,6176.538000000001,6.043706587653936
101,St. Petersburg,Russia,59.93333333333333,30.3,59.8,30.263,260630.0,99999.0,3.1884059348400005,1254.947,9.880778525929674
102,Sao Paulo,Brazil,-23.516666666666666,-46.51666666666666,-23.432,-46.47,830750.0,99999.0,1.20956395456,4766.436,4.449120795304511
103,Shanghai,China,31.16666666666667,121.46666666666668,31.198,121.336,583670.0,99999.0,1.7308419026,4385.258,6.303889208405158
104,Singapore,Singapore,1.2333333333333334,103.91666666666669,1.36,103.91,486940.0,99999.0,1.23401121737,11169.73,4.995378047584129
105,Sofia,Bulgaria,42.66666666666666,23.33333333333333,42.695,23.406,156140.0,99999.0,2.25932464873,1064.292,6.840034579496976
106,Stockholm,Sweden,59.28333333333333,18.05,59.35,18.067,24840.0,99999.0,3.0696103468700002,7686.343000000002,11.92781901085934
107,Sydney,Australia,-34.0,151.0,-33.924,150.988,947650.0,99999.0,1.37877996847,608.4972,3.839863213165365
108,Tananarive,Madagascar,-18.83333333333333,47.55,-18.867,47.5,670850.0,99999.0,1.13582244265,8588.923,4.468313302960387
109,Teheran,Iran,35.75,51.75,35.689,51.313,407540.0,99999.0,1.78075901129,5396.4540000000015,6.646129104071087
110,Tokyo,Japan,35.666666666666664,139.75,35.683,139.767,476620.0,99999.0,1.7801257304499998,11452.72,7.22543521363506
111,Tripoli,Libya,32.95,13.2,32.15,13.0,620110.0,99999.0,2.32683776387,4.833547,1.7822011338788093
112,Venice,Italy,45.43333333333333,12.333333333333336,45.433,12.383,161010.0,99999.0,1.65770736369,481.5823,4.448576052450382
113,Veracruz,Mexico,19.166666666666668,-96.16666666666669,19.146,-96.187,766913.0,99999.0,0.94209939355,2294.898,3.1663513965322734
114,Vienna,Austria,48.23333333333333,16.333333333333332,48.25,16.367,110350.0,99999.0,2.59858546945,3983.11,9.355768655043251
115,Vladivostok,Russia,43.16666666666666,132.0,43.117,131.933,319600.0,99999.0,2.2814751041,1017.559,6.862645607238887
116,Warsaw,Poland,52.23333333333333,21.0,52.166,20.967,123750.0,99999.0,2.36821123567,1867.319,7.747487087166272
117,Zurich,Switzerland,47.35,8.516666666666667,47.383,8.567,66600.0,99999.0,2.09152985384,4702.568,7.680991599734721
118,Manama,Bahrain,26.2,50.6,26.271,50.63399999999999,411500.0,99999.0,1.44763327225,10169.62,5.801169470641921
119,Zagreb,Croatia,45.81666666666667,15.983333333333333,45.8,15.967,142360.0,99999.0,2.27880335973,1251.566,7.0592784581572525
120,Vilnius,Lithuania,54.06666666666667,25.316666666666666,53.902,25.317,268320.0,99999.0,2.42663352749,80.20245,4.633824480606464
