Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/05/13,40035.9988560085,40035.999942973576,0.00040498763701179996,7.958486094139516e-06,33840.82241912458,217.69237499911105,6195.176436883914,39644.0,40429.0,39643.0,40428.0,,,,
2020/05/14,40035.9991527827,40035.999949735,0.00029677420388907194,6.7614237195812166e-06,34051.12498197743,210.3025628528485,5984.874170805269,39645.0,40428.0,39645.0,40429.0,,,,
2020/05/15,40035.999370493606,40035.99995550453,0.0002177109054173343,5.769528797827661e-06,34254.28858540716,203.1636034297262,5781.710785086449,39644.0,40428.0,39645.0,40429.0,,,,
2020/05/16,40035.99953040972,40035.99996044846,0.0001599161114427261,4.943933163303882e-06,34450.55556749324,196.26698208608286,5585.443962916477,39645.0,40428.0,39644.0,40429.0,,,,
2020/05/17,40035.99964805382,40035.99996470223,0.00011764410010073334,4.253764927852899e-06,34640.16004048354,189.60447299030056,5395.839607570277,39644.0,40429.0,39644.0,40428.0,,,,
2020/05/18,40035.99973475733,40035.999968376585,8.670351235195994e-05,3.67435859516263e-06,34823.328169861394,183.1681293778529,5212.671564895936,39644.0,40430.0,39644.0,40429.0,,,,
2020/05/19,40035.999798795434,40035.99997156253,6.403810402844101e-05,3.1859453883953393e-06,35000.278443986055,176.95027412466152,5035.721354809379,39644.0,40429.0,39644.0,40429.0,,,,
2020/05/20,40035.99984621393,40035.99997433517,4.7418492613360286e-05,2.772641892079264e-06,35171.22193461316,170.94349062710535,4864.777911600766,39643.0,40428.0,39644.0,40429.0,,,,
2020/05/21,40035.99988143232,40035.99997675668,3.521839244058356e-05,2.421504177618772e-06,35336.36254858301,165.14061396985198,4699.637332849306,39644.0,40428.0,39644.0,40429.0,,,,
2020/05/22,40035.99990768089,40035.99997887877,2.6248570065945387e-05,2.1220912458375096e-06,35495.89727096277,159.53472237975802,4540.102636718118,39644.0,40429.0,39645.0,40429.0,,,,
2020/05/23,40035.99992732702,40035.99998074464,1.9646133296191692e-05,1.8658683984540403e-06,35650.016400121975,154.11912915920402,4385.983527205048,39644.0,40428.0,39643.0,40428.0,,,,
2020/05/24,40035.99994210318,40035.99998239048,1.4776160242035985e-05,1.6458434402011335e-06,35798.90377458391,148.8873744619341,4237.096167519274,39644.0,40429.0,39644.0,40428.0,,,,
