,Date,Remain_confirm,Official_confirmed,Predict_confirm,Dailynew_confirm,Predict_actual
65,2020/04/15,697.4152626518771,,80749.83086684404,6.404327541531529e-05,80749.83103916775
66,2020/04/16,625.3798091728677,,80749.83091346276,4.661871207645163e-05,80749.83103916775
67,2020/04/17,558.2317526357148,,80749.83094742174,3.3958975109271705e-05,80749.83103916775
68,2020/04/18,495.63949855394463,,80749.83097217746,2.4755720005487092e-05,80749.83103916775
69,2020/04/19,437.2939495339888,,80749.83099023257,1.8055121472571045e-05,80749.83103916775
70,2020/04/20,382.9069790645517,,80749.83100340744,1.3174869309295902e-05,80749.83103916775
71,2020/04/21,332.2100092490145,,80749.8310130268,9.619350748835132e-06,80749.83103916775
72,2020/04/22,284.95268423730886,,80749.83102005071,7.0239202614175156e-06,80749.83103916775
73,2020/04/23,240.90163392964317,,80749.83102518227,5.131547368364409e-06,80749.83103916775
74,2020/04/24,199.83932190833,,80749.8310289322,3.749939423869364e-06,80749.83103916775
75,2020/04/25,161.5629707006301,,80749.83103167206,2.739856427069753e-06,80749.83103916775
76,2020/04/26,125.88356093010952,,80749.83103367395,2.001901520998217e-06,80749.83103916775
77,2020/04/27,92.62489749288945,,80749.83103513723,1.4632732927566394e-06,80749.83103916775
78,2020/04/28,61.62273962210747,,80749.83103620942,1.0721942089730878e-06,80749.83103916775
79,2020/04/29,32.72398992320086,,80749.83103699348,7.840626494726166e-07,80749.83103916775
80,2020/04/30,5.785939778375906,,80749.83103756524,5.717429303331301e-07,80749.83103916775
81,2020/05/01,0.0,,80749.83103798263,4.173834895482287e-07,80749.83103916775
82,2020/05/02,0.0,,80749.83103829128,3.086679498665035e-07,80749.83103916775
83,2020/05/03,0.0,,80749.83103851909,2.2780295694246893e-07,80749.83103916775
84,2020/05/04,0.0,,80749.83103868405,1.64955054060556e-07,80749.83103916775
85,2020/05/05,0.0,,80749.83103879835,1.1430347512941808e-07,80749.83103916775
86,2020/05/06,0.0,,80749.83103888118,8.285314834211022e-08,80749.83103916775
87,2020/05/07,0.0,,80749.83103895014,6.893787940498441e-08,80749.83103916775
88,2020/05/08,0.0,,80749.83103900508,5.4946212912909687e-08,80749.83103916775
89,2020/05/09,0.0,,80749.83103904176,3.669083525892347e-08,80749.83103916775
90,2020/05/10,0.0,,80749.8310390533,1.152511686086654e-08,80749.83103916775
91,2020/05/11,0.0,,80749.83103906158,8.28367774374783e-09,80749.83103916775
92,2020/05/12,0.0,,80749.83103908587,2.4287146516144276e-08,80749.83103916775
93,2020/05/13,0.0,,80749.83103911197,2.611159288790077e-08,80749.83103916775
94,2020/05/14,0.0,,80749.83103911013,-1.8499122234061385e-09,80749.83103916775
95,2020/05/15,0.0,,80749.83103911782,7.696144166402519e-09,80749.83103916775
96,2020/05/16,0.0,,80749.83103911811,2.892193151637912e-10,80749.83103916775
97,2020/05/17,0.0,,80749.83103912034,2.2209860617294908e-09,80749.83103916775
98,2020/05/18,0.0,,80749.83103912084,5.03860064782202e-10,80749.83103916775
99,2020/05/19,0.0,,80749.83103912418,3.3396645449101917e-09,80749.83103916775
100,2020/05/20,0.0,,80749.83103912472,5.384208634495734e-10,80749.83103916775
101,2020/05/21,0.0,,80749.83103912444,-2.6921043172478676e-10,80749.83103916775
102,2020/05/22,0.0,,80749.83103912514,7.057678885757923e-10,80749.83103916775
103,2020/05/23,0.0,,80749.83103912536,2.0918378140777347e-10,80749.83103916775
104,2020/05/24,0.0,,80749.83103912583,4.638422979041934e-10,80749.83103916775
105,2020/05/25,0.0,,80749.83103912609,2.6557245291769505e-10,80749.83103916775
106,2020/05/26,0.0,,80749.83103912619,1.1095835361629725e-10,80749.83103916775
107,2020/05/27,0.0,,80749.83103912641,2.0008883439004426e-10,80749.83103916775
108,2020/05/28,0.0,,80749.83103912642,1.6370904631912715e-11,80749.83103916775
