Dailynew_confirm,Dailynew_remove,Date,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
3886.880540042359,3537.359282521502,2020/04/16,503924.82788613293,384344.416157938,119580.41172819493,,,,
3500.6191708107945,3488.9600489097793,2020/04/17,507425.4470569437,384356.075279839,123069.37177710471,,,,
3138.810350831307,3438.500429163105,2020/04/18,510564.25740777503,384056.38520150725,126507.87220626781,,,,
2802.9765803258633,3386.3450781941647,2020/04/19,513367.2339881009,383473.01670363895,129894.21728446198,,,,
2494.394364610547,3332.836170703493,2020/04/20,515861.62835271144,382634.574897546,133227.05345516547,,,,
2213.7626998804044,3278.2921319431625,2020/04/21,518075.39105259185,381570.0454654832,136505.34558710863,,,,
1961.0474350733566,3223.0068152163003,2020/04/22,520036.4384876652,380308.08608534024,139728.35240232493,,,,
1735.480867732782,3167.2483275760314,2020/04/23,521771.919355398,378876.31862549705,142895.60072990097,,,,
1535.668300241232,3111.259095172718,2020/04/24,523307.5876556392,377300.72783056553,146006.85982507368,,,,
1359.7527444363222,3055.25573253553,2020/04/25,524667.3404000755,375605.2248424663,149062.1155576092,,,,
1205.5928254196187,2999.430128737178,2020/04/26,525872.9332254952,373811.3875391488,152061.5456863464,,,,
1070.925810586894,2943.9503028353793,2020/04/27,526943.859036082,371938.36304690025,155005.49598918177,,,,
953.4988008545479,2888.961863372562,2020/04/28,527897.3578369366,370002.89998438227,157894.45785255433,,,,
851.1634886648972,2834.589651320217,2020/04/29,528748.5213256015,368019.473821727,160729.04750387455,,,,
761.9366260649404,2780.939453535655,2020/04/30,529510.4579516664,366000.4709942562,163509.9869574102,,,,
684.0320393606089,2728.0997204165324,2020/05/01,530194.489991027,363956.40331320034,166238.08667782674,,,,
615.871004669345,2676.143464808556,2020/05/02,530810.3609956964,361896.1308530611,168914.2301426353,,,,
556.0782550108852,2625.1297126144927,2020/05/03,531366.4392507073,359827.0793954575,171539.3598552498,,,,
503.4684939098079,2575.1051304161956,2020/05/04,531869.9077446171,357755.4427589511,174114.46498566598,,,,
457.0279570259154,2526.10559483993,2020/05/05,532326.935701643,355686.3651211371,176640.5705805059,,,,
415.89432920585386,2478.15737551474,2020/05/06,532742.8300308489,353624.10207482823,179118.72795602065,,,,
379.3364964550128,2431.2784126762126,2020/05/07,533122.1665273039,351572.160158607,181550.00636869686,,,,
346.7355956020765,2385.4794035207015,2020/05/08,533468.902122906,349533.4163506884,183935.48577221757,,,,
317.56791246763896,2340.7647753959754,2020/05/09,533786.4700353736,347510.21948776004,186276.25054761354,,,,
291.3898640132975,2297.133565570519,2020/05/10,534077.8598993869,345504.4757862028,188573.38411318406,,,,
267.82505368918646,2254.5802061085706,2020/05/11,534345.6849530761,343517.72063378344,190827.96431929263,,,,
246.55327172973193,2213.0952190533862,2020/05/12,534592.2382248058,341551.1786864598,193041.05953834602,,,,
227.3012947550742,2172.665827696532,2020/05/13,534819.5395195609,339605.8141535183,195213.72536604255,,,,
209.83510553685483,2133.276514095138,2020/05/14,535029.3746250977,337682.37274496,197347.0018801377,,,,
193.953556905617,2094.9094871102425,2020/05/15,535223.3281820033,335781.4168147554,199441.91136724793,,,,
179.48303174984176,2057.545110562525,2020/05/16,535402.8112137532,333903.35473594273,201499.45647781045,,,,
166.27306132472586,2021.1622774436255,2020/05/17,535569.0842750779,332048.46551982383,203520.61875525408,,,,
154.19271554634906,1985.7387261235563,2020/05/18,535723.2769906243,330216.9195092466,205506.35748137764,,,,
143.12756328622345,1951.251333085238,2020/05/19,535866.4045539105,328408.7957394476,207457.60881446287,,,,
132.97725203901064,1917.6763460245566,2020/05/20,535999.3818059495,326624.0966454621,209375.28516048743,,,,
123.65338778134901,1884.989608345204,2020/05/21,536123.0351937308,324862.76042489824,211260.27476883263,,,,
115.07783137599472,1853.166742492147,2020/05/22,536238.1130251068,323124.67151378206,213113.44151132478,,,,
107.18131019931752,1822.183283359249,2020/05/23,536345.2943353062,321409.66954062216,214935.62479468403,,,,
99.90214078815188,1792.0148511153238,2020/05/24,536445.1964760943,319717.55683029495,216727.63964579935,,,,
93.18526825949084,1762.6372370488243,2020/05/25,536538.3817443538,318048.1048615056,218490.27688284818,,,,
86.98140536656138,1734.026504427573,2020/05/26,536625.3631497204,316401.0597624446,220224.30338727575,,,,
81.2463014726527,1706.1590719841479,2020/05/27,536706.609451193,314776.1469919331,221930.4624592599,,,,
75.94013118266594,1679.0117761297442,2020/05/28,536782.5495823757,313173.07534698606,223609.47423538964,,,,
71.02696338994429,1652.5619268512528,2020/05/29,536853.5765457656,311591.5403835247,225262.0361622409,,,,
66.47432534338441,1626.7873401547258,2020/05/30,536920.050871109,310031.22736871336,226888.82350239562,,,,
62.25278275634628,1601.666390651255,2020/05/31,536982.3036538654,308491.81376081845,228490.48989304688,,,,
58.33561958814971,1577.1780259753577,2020/06/01,537040.6392734535,306972.97135443124,230067.66791902223,,,,
54.698565624887124,1553.3017687326355,2020/06/02,537095.3378390784,305474.3681513235,231620.96968775487,,,,
51.31950522516854,1530.0177549864748,2020/06/03,537146.6573443036,303995.6699015622,233150.98744274135,,,,
48.17826962238178,1507.3067287931917,2020/06/04,537194.8356139259,302536.5414423914,234658.29417153454,,,,
45.2564457989065,1485.1500406150008,2020/06/05,537240.0920597248,301096.6478475753,236143.44421214954,,,,
42.53719419252593,1463.5296522273857,2020/06/06,537282.6292539174,299675.6553895405,237606.97386437692,,,,
40.005099736270495,1442.4281288720667,2020/06/07,537322.6343536536,298273.2323604047,239049.401993249,,,,
37.646035486715846,1421.8286326393427,2020/06/08,537360.2803891404,296889.049763252,240471.23062588833,,,,
35.44704183610156,1401.7149120466784,2020/06/09,537395.7274309765,295522.78189304145,241872.945537935,,,,
33.39621863071807,1382.0712915671465,2020/06/10,537429.1236496072,294174.106820105,243255.01682950216,,,,
31.48262906866148,1362.8826579230372,2020/06/11,537460.6062786758,292842.7067912506,244617.8994874252,,,,
29.696213136194274,1344.1344466621522,2020/06/12,537490.302491812,291528.26855772466,245962.03393408735,,,,
28.027709923917428,1325.8126272140362,2020/06/13,537518.330201736,290230.48364043457,247287.84656130138,,,,
26.468589492957108,1307.9036860493652,2020/06/14,537544.7987912289,288949.04854387813,248595.75024735075,,,,
25.010987498331815,1290.3946128714015,2020/06/15,537569.8097787272,287683.6649185051,249886.14486022215,,,,
23.64765001030173,1273.272882687539,2020/06/16,537593.4574287375,286434.03968582785,251159.4177429097,,,,
22.371881892438978,1256.526440034184,2020/06/17,537615.82931063,285199.8851276861,252415.94418294387,,,,
21.17749918869231,1240.1436826374556,2020/06/18,537637.0068098187,283980.91894423735,253656.08786558133,,,,
20.058788695954718,1224.1134442975454,2020/06/19,537657.0655985146,282776.8642886358,254880.20130987887,,,,
19.01046686200425,1208.4249801214319,2020/06/20,537676.0760653766,281587.44977537636,256088.6262900003,,,,
18.027648013317958,1193.0679489813338,2020/06/21,537694.10371339,280412.4094744083,257281.69423898164,,,,
17.10580911359284,1178.0323996855295,2020/06/22,537711.2095225035,279251.4828838364,258459.72663866717,,,,
16.240763608948328,1163.3087538226391,2020/06/23,537727.4502861125,278104.4148936227,259623.0353924898,,,,
15.428632524097338,1148.8877928576549,2020/06/24,537742.8789186366,276970.9557332891,260771.92318534746,,,,
14.665821712231264,1134.7606418475334,2020/06/25,537757.5447403488,275850.86091315385,261906.683827195,,,,
13.94899855053518,1120.9187568789057,2020/06/26,537771.4937388994,274743.89115482545,263027.6025840739,,,,
13.275072996271774,1107.353909840167,2020/06/27,537784.7688118956,273649.81231798156,264134.95649391407,,,,
12.641177590121515,1094.058178098232,2020/06/28,537797.4099894857,272568.39531747345,265229.0146720123,,,,
12.044650123803876,1081.0239304448478,2020/06/29,537809.4546396096,271499.4160371524,266310.03860245715,,,,
11.483019701670855,1068.2438135533012,2020/06/30,537820.9376593112,270442.6552433008,267378.28241601045,,,,
10.953990160254762,1055.71074009547,2020/07/01,537831.8916494715,269397.89849336556,268433.9931561059,,,,
10.455428692395799,1043.417880290188,2020/07/02,537842.3470781639,268364.93604176777,269477.4110363961,,,,
9.98535225354135,1031.3586514857598,2020/07/03,537852.3324304174,267343.56274253555,270508.76968788187,,,,
