Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
18376.0,18912.0,7406.0,7747.0,1176.7593216340829,920.033671302609,58.38490890326972,2020/04/01,18644.584683661382,7576.526155603418,7212.346755599987,364.17940000343185,,,,
19326.0,19874.0,8327.0,8689.0,955.5977610351474,931.6818480750353,65.8366225355906,2020/04/02,19600.18244469653,8508.208003678454,8078.191981139431,430.01602253902246,,,,
20065.0,20624.0,9243.0,9624.0,743.7967753836965,924.8365609068951,73.24324234357857,2020/04/03,20343.979220080226,9433.044564585349,8929.785299702748,503.25926488260103,,,,
20618.0,21184.0,10136.0,10535.0,556.8474367853923,902.4256374105698,80.45840916020171,2020/04/04,20900.826656865618,10335.470201995919,9751.752527953116,583.7176740428027,,,,
21019.0,21590.0,10997.0,11412.0,402.45900962765154,868.0680000816537,87.36559879390938,2020/04/05,21303.28566649327,11203.538202077572,10532.454929240861,671.0832728367121,,,,
21298.0,21874.0,11814.0,12244.0,281.83591214793705,825.4331733902982,93.88092597095817,2020/04/06,21585.121578641207,12028.97137546787,11264.0071766602,764.9641988076703,,,,
21488.0,22067.0,12585.0,13029.0,191.89479300236417,777.801488136849,99.95124941344181,2020/04/07,21777.01637164357,12806.77286360472,11941.857415383607,864.9154482211121,,,,
21615.0,22195.0,13307.0,13763.0,127.44010217845789,727.8415790985819,105.54947186353706,2020/04/08,21904.45647382203,13534.614442703301,12564.149522618653,970.4649200846492,,,,
21697.0,22278.0,13979.0,14447.0,82.78983168807099,677.5603422831555,110.66875700956723,2020/04/09,21987.2463055101,14212.174784986457,13131.04110789224,1081.1336770942164,,,,
21749.0,22332.0,14602.0,15080.0,52.74695219883506,628.3608700743807,115.31687598120402,2020/04/10,22039.993257708935,14840.535655060838,13644.085101985416,1196.4505530754204,,,,
21782.0,22364.0,15178.0,15666.0,33.03449736657785,581.1508682474105,119.51135130743592,2020/04/11,22073.027755075513,15421.686523308248,14105.724618925391,1315.9619043828563,,,,
21803.0,22385.0,15711.0,16206.0,20.378865463608236,536.4617802535304,123.27563963038642,2020/04/12,22093.40662053912,15958.148303561778,14518.910759548537,1439.2375440132428,,,,
